"COUNTRY","COICOP_1999","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"Myanmar","Clothing and footwear","Monthly","2013-M08","101.491906493767"
"Myanmar","Clothing and footwear","Monthly","2013-M09","101.493286202437"
"Myanmar","Clothing and footwear","Monthly","2013-M10","101.487915089508"
"Myanmar","Clothing and footwear","Monthly","2013-M11","101.716958431675"
"Myanmar","Clothing and footwear","Monthly","2013-M12","102.017013497145"
"Myanmar","Clothing and footwear","Monthly","2014-M01","102.066216845738"
"Myanmar","Clothing and footwear","Monthly","2014-M02","102.025715408266"
"Myanmar","Clothing and footwear","Monthly","2014-M03","102.020684257148"
"Myanmar","Clothing and footwear","Monthly","2014-M04","102.371862120482"
"Myanmar","Clothing and footwear","Monthly","2014-M05","102.829938103801"
"Myanmar","Clothing and footwear","Monthly","2014-M06","102.959919212034"
"Myanmar","Clothing and footwear","Monthly","2014-M07","103.140465710737"
"Myanmar","Clothing and footwear","Monthly","2014-M08","103.057442884751"
"Myanmar","Clothing and footwear","Monthly","2014-M09","102.989218446587"
"Myanmar","Clothing and footwear","Monthly","2014-M10","103.035146098849"
"Myanmar","Clothing and footwear","Monthly","2014-M11","103.406803783894"
"Myanmar","Clothing and footwear","Monthly","2014-M12","104.266167317511"
"Myanmar","Clothing and footwear","Monthly","2015-M01","107.407606719295"
"Myanmar","Clothing and footwear","Monthly","2015-M02","107.626483033735"
"Myanmar","Clothing and footwear","Monthly","2015-M03","107.962622365499"
"Myanmar","Clothing and footwear","Monthly","2015-M04","108.283635412305"
"Myanmar","Clothing and footwear","Monthly","2015-M05","108.340670979506"
"Myanmar","Clothing and footwear","Monthly","2015-M06","109.044222863446"
"Myanmar","Clothing and footwear","Monthly","2015-M07","109.436871980808"
"Myanmar","Clothing and footwear","Monthly","2015-M08","109.65789629981"
"Myanmar","Clothing and footwear","Monthly","2015-M09","112.162156464558"
"Myanmar","Clothing and footwear","Monthly","2015-M10","112.80908662969"
"Myanmar","Clothing and footwear","Monthly","2015-M11","112.747690420752"
"Myanmar","Clothing and footwear","Monthly","2015-M12","113.42240744679"
"Myanmar","Clothing and footwear","Monthly","2016-M01","113.030950802373"
"Myanmar","Clothing and footwear","Monthly","2016-M02","113.526063499453"
"Myanmar","Clothing and footwear","Monthly","2016-M03","113.918414756594"
"Myanmar","Clothing and footwear","Monthly","2016-M04","113.784915693034"
"Myanmar","Clothing and footwear","Monthly","2016-M05","114.498650023838"
"Myanmar","Clothing and footwear","Monthly","2016-M06","114.994696450003"
"Myanmar","Clothing and footwear","Monthly","2016-M07","115.136342586609"
"Myanmar","Clothing and footwear","Monthly","2016-M08","115.27382774971"
